PRD_DE,C1_NM,녹지지역 면적 (㎡),도시지역 면적 (㎡),녹지율 (%)
2008,강원특별자치도,794229491.0,992883080.0,79.99
2008,경기도,2574548407.0,3236168746.0,79.56
2008,경상남도,1492453774.0,1956889974.0,76.27
2008,경상북도,1330836799.0,1773005400.0,75.06
2008,광주광역시,374029891.0,478210854.0,78.21
2008,대구광역시,629340392.0,798504995.0,78.81
2008,대전광역시,402388482.0,494959003.0,81.3
2008,부산광역시,577440464.0,946381728.0,61.02
2008,서울특별시,244249800.0,605958000.0,40.31
2008,울산광역시,531865745.0,751223848.0,70.8
2008,인천광역시,294712866.0,560455329.0,52.58
2008,전국,12619619721.0,17317258219.0,72.87
2008,전라남도,1187784451.0,1670113161.0,71.12
2008,전북특별자치도,609206668.0,887576860.0,68.64
2008,제주특별자치도,334632103.0,407330822.0,82.15
2008,충청남도,674507795.0,1054730425.0,63.95
2008,충청북도,567392593.0,702865994.0,80.73
2009,강원특별자치도,793749561.0,994892241.0,79.78
2009,경기도,2590446155.0,3239452978.0,79.97
2009,경상남도,1492721160.0,1963756963.0,76.01
2009,경상북도,1329497985.0,1768211310.0,75.19
2009,광주광역시,372905640.0,480117230.0,77.67
2009,대구광역시,621461579.0,798467527.0,77.83
2009,대전광역시,401845953.0,494959003.0,81.19
2009,부산광역시,577305021.0,945518627.0,61.06
2009,서울특별시,244643584.0,605958000.0,40.37
2009,울산광역시,528267313.0,753469238.0,70.11
2009,인천광역시,299019689.0,570484285.0,52.42
2009,전국,12621061420.0,17420225241.0,72.45
2009,전라남도,1183680523.0,1738382586.0,68.09
2009,전북특별자치도,604664328.0,889423249.0,67.98
2009,제주특별자치도,334679021.0,407552750.0,82.12
2009,충청남도,681627055.0,1068364000.0,63.8
2009,충청북도,564546853.0,701215254.0,80.51
2010,강원특별자치도,790907463.0,1009506443.0,78.35
2010,경기도,2570617120.0,3264237533.0,78.75
2010,경상남도,1488340810.0,1877455242.0,79.27
2010,경상북도,1374005317.0,1831356118.0,75.03
2010,광주광역시,372900880.0,480108790.0,77.67
2010,대구광역시,621018843.0,798498469.0,77.77
2010,대전광역시,401760781.0,494958998.0,81.17
2010,부산광역시,576508531.0,943382552.0,61.11
2010,서울특별시,242810549.0,605958000.0,40.07
2010,울산광역시,526179571.0,755429960.0,69.65
2010,인천광역시,293682113.0,585334610.0,50.17
2010,전국,12666463646.0,17492203102.0,72.41
2010,전라남도,1176660365.0,1747196695.0,67.35
2010,전북특별자치도,603112197.0,891125281.0,67.68
