지점번호,시작시각,(현)지점명,(현)주소,위도,경도
90,1968.01.01 00:00:00,속초,강원도 고성군 토성면 봉포리,38.25085,128.56473
93,2016.10.01 00:00:00,북춘천,,37.94738,127.75443
95,1988.01.01 00:00:00,철원,강원도 철원군 갈말읍 군탄리,38.14787,127.3042
98,1998.02.01 00:00:00,동두천,경기도 동두천시 생연동,37.90188,127.0607
99,2001.12.07 00:00:00,파주,경기도 파주시 문산읍 운천리,37.88589,126.76648
100,1971.07.15 00:00:00,대관령,강원도 평창군 대관령면 횡계리,37.67713,128.71834
101,1966.01.01 00:00:00,춘천,강원도 춘천시 우두동,37.90262,127.7357
102,2000.11.01 00:00:00,백령도,인천광역시 옹진군 백령면 연화리,37.97396,124.71237
104,2008.07.28 09:00:00,북강릉,강원도 강릉시 사천면 방동리,37.80456,128.85535
105,1911.10.03 00:00:00,강릉,강원도 강릉시 용강동,37.75147,128.89099
106,1992.05.01 00:00:00,동해,강원도 동해시 용정동,37.50709,129.12433
108,1907.10.01 00:00:00,서울,서울특별시 종로구 송월동,37.57142,126.9658
112,1904.08.29 00:00:00,인천,인천광역시 중구 전동,37.47772,126.6249
114,1971.09.06 00:00:00,원주,강원도 원주시 명륜동,37.33749,127.94659
115,1938.08.10 00:00:00,울릉도,경상북도 울릉군 울릉읍 도동리,37.48129,130.89864
119,1964.01.01 00:00:00,수원,경기도 수원시 권선구 서둔동,37.25746,126.983
121,1994.12.01 00:00:00,영월,강원도 영월군 영월읍 하송리,37.18126,128.45743
127,1972.01.01 00:00:00,충주,충청북도 충주시 안림동,36.97045,127.9525
129,1968.01.01 00:00:00,서산,충청남도 서산시 수석동,36.77658,126.4939
130,1971.01.12 00:00:00,울진,경상북도 울진군 울진읍 연지리,36.99176,129.41278
131,1967.01.01 00:00:00,청주,충청북도 청주시흥덕구 복대동,36.63924,127.44066
133,1969.01.01 00:00:00,대전,대전광역시 유성구 구성동,36.37199,127.3721
135,1937.01.11 00:00:00,추풍령,충청북도 영동군 추풍령면 관리,36.22025,127.99458
136,1973.01.01 00:00:00,안동,경상북도 안동시 운안동,36.57293,128.70734
137,2002.01.01 00:00:00,상주,경상북도 상주시 낙양동,36.40837,128.15741
138,1943.01.01 00:00:00,포항,경상북도 포항시남구 송도동,36.03201,129.38002
140,1968.01.01 00:00:00,군산,전라북도 군산시 내흥동,36.0053,126.76135
143,1907.01.31 00:00:00,대구,대구광역시 동구 효목동,35.87797,128.65295
146,1918.06.23 00:00:00,전주,전라북도 전주시덕진구 덕진동2가,35.84092,127.11718
152,1932.01.06 00:00:00,울산,울산광역시 중구 북정동,35.58237,129.33469
155,1985.07.01 00:00:00,창원,경상남도 창원시 마산합포구 가포동,35.17019,128.57281
156,1939.05.01 00:00:00,광주,광주광역시 북구 운암동,35.17294,126.89156
159,1904.04.09 00:00:00,부산,부산광역시 중구 대청동1가,35.10468,129.03203
162,1968.01.01 00:00:00,통영,경상남도 통영시 정량동,34.84541,128.43561
165,1904.04.08 00:00:00,목포,전라남도 목포시 연산동,34.81732,126.38151
168,1942.03.01 00:00:00,여수,전라남도 여수시 중앙동,34.73929,127.74063
169,1997.01.01 00:00:00,흑산도,전라남도 신안군 흑산면 예리,34.68719,125.45105
170,1971.01.31 00:00:00,완도,전라남도 완도군 군외면 불목리,34.3959,126.70182
172,2010.12.01 00:00:00,고창,전라북도 고창군 대산면 매산리,35.34824,126.599
174,2011.04.01 00:00:00,순천,전라남도 순천시 승주읍 평중리,35.0204,127.3694
177,2015.11.03 15:00:00,홍성,,36.65759,126.68772
181,2022.01.21 00:00:00,서청주,,36.63994,127.38458
184,1923.05.01 00:00:00,제주,제주특별자치도 제주시 건입동,33.51411,126.52969
185,1988.01.01 00:00:00,고산,제주특별자치도 제주시 한경면 고산리,33.29382,126.16283
188,1971.07.15 00:00:00,성산,제주특별자치도 서귀포시 성산읍 신산리,33.38677,126.8802
189,1961.01.01 00:00:00,서귀포,제주특별자치도 서귀포시 서귀동,33.24616,126.5653
192,1969.03.01 00:00:00,진주,경상남도 진주시 평거동,35.16378,128.04004
201,1972.01.11 00:00:00,강화,인천광역시 강화군 불은면 삼성리,37.70739,126.44634
202,1972.01.11 00:00:00,양평,경기도 양평군 양평읍 양근리,37.48863,127.49446
203,1972.01.11 00:00:00,이천,경기도 이천시 부발읍 신하리,37.26399,127.48421
211,1971.12.01 00:00:00,인제,강원도 인제군 인제읍 남북리,38.05986,128.16714
212,1971.09.27 00:00:00,홍천,강원도 홍천군 홍천읍 연봉리,37.6836,127.88043
216,1985.08.01 00:00:00,태백,강원도 태백시 황지동,37.17038,128.98929
217,2010.08.06 00:00:00,정선군,강원도 정선군 정선읍 북실리,37.37732,128.67348
221,1972.01.11 00:00:00,제천,충청북도 제천시 신월동,37.15928,128.19434
